epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7815468311309814,0.5954034328460693,1e-05,0.7709090709686279,0.6216627955436707
1,0.8150158524513245,0.5142566561698914,1e-05,0.7963636517524719,0.5073628425598145
2,0.8466756939888,0.4038340449333191,1e-05,0.803636372089386,0.4951935410499573
3,0.8625056743621826,0.37837475538253784,1e-05,0.7818182110786438,0.5280011892318726
4,0.8729081749916077,0.34205272793769836,1e-05,0.8327272534370422,0.40996426343917847
5,0.8873812556266785,0.304733008146286,1e-05,0.800000011920929,0.4969862997531891
6,0.8950700759887695,0.2868756651878357,1e-05,0.8363636136054993,0.4406983554363251
7,0.9000452160835266,0.27974340319633484,1e-05,0.7927272915840149,0.5949103236198425
8,0.9099954962730408,0.2398013025522232,5e-06,0.8472727537155151,0.4300493896007538
9,0.9154228568077087,0.2277074009180069,5e-06,0.8618181943893433,0.37799888849258423
